Generation,Best Eval,Min Exec Time (ms),Avg Exec Time (ms),Median Exec Time (ms),Variance Exec Time (ms),Range Exec Time (ms),Improvement Time (%),Std Dev Exec Time (ms)
0,0.001900014467537403,0.001900014467537403,0.001900014467537403,0.001900014467537403,,0.0,0.0,
1,0.002100015990436077,0.002100015990436077,0.00200001522898674,0.00200001522898674,2.0000304580894412e-08,0.000200001522898674,-10.526315789473696,0.00014142243308928895
2,0.002100015990436077,0.002100015990436077,0.002033348816136519,0.002100015990436077,1.3333536387262949e-08,0.000200001522898674,-10.526315789473696,0.00011547093308388458
3,0.002100015990436077,0.002100015990436077,0.0020500156097114086,0.002100015990436077,1.0000152290447213e-08,0.000200001522898674,-10.526315789473696,0.00010000076144933703
4,0.00200001522898674,0.00200001522898674,0.002040015533566475,0.002100015990436077,8.00012183235777e-09,0.000200001522898674,-5.263157894736836,8.94434001609832e-05
5,0.00200001522898674,0.00200001522898674,0.002033348816136519,0.0020500156097114086,6.6667681936314736e-09,0.000200001522898674,-5.263157894736836,8.165027981355284e-05
6,0.00200001522898674,0.00200001522898674,0.002028586875115122,0.00200001522898674,5.714372737398405e-09,0.000200001522898674,-5.263157894736836,7.559347020344022e-05
7,0.00200001522898674,0.00200001522898674,0.0020250154193490744,0.00200001522898674,5.000076145223604e-09,0.000200001522898674,-5.263157894736836,7.071121654464449e-05
8,0.001800013706088066,0.001800013706088066,0.00200001522898674,0.00200001522898674,1.0000152290447206e-08,0.000300002284348011,5.263157894736848,0.000100000761449337
9,0.00200001522898674,0.00200001522898674,0.00200001522898674,0.00200001522898674,8.889024258175294e-09,0.000300002284348011,-5.263157894736836,9.428162205952597e-05
10,0.00200001522898674,0.00200001522898674,0.00200001522898674,0.00200001522898674,8.000121832357765e-09,0.000300002284348011,-5.263157894736836,8.944340016098317e-05
11,0.00200001522898674,0.00200001522898674,0.00200001522898674,0.00200001522898674,7.27283802941615e-09,0.000300002284348011,-5.263157894736836,8.528093590842065e-05
12,0.00209989957511425,0.00209989957511425,0.002007698640227318,0.00200001522898674,7.434220701425335e-09,0.000300002284348011,-10.520188713926837,8.622192703381974e-05
13,0.002100015990436077,0.002100015990436077,0.0020142927366708007,0.00200001522898674,7.4711070812298e-09,0.000300002284348011,-10.526315789473696,8.643556606646248e-05
14,0.00200001522898674,0.00200001522898674,0.0020133409028251967,0.00200001522898674,6.951046390472231e-09,0.000300002284348011,-5.263157894736836,8.337293559946317e-05
15,0.001900014467537403,0.001900014467537403,0.0020062580006197095,0.00200001522898674,7.290323356213987e-09,0.000300002284348011,0.0,8.538339040008886e-05
16,0.00200001522898674,0.00200001522898674,0.0020058907787589464,0.00200001522898674,6.836970628665989e-09,0.000300002284348011,-5.263157894736836,8.268597600963532e-05
17,0.001800013706088066,0.001800013706088066,0.0019944531636105645,0.00200001522898674,8.789538610888334e-09,0.000300002284348011,5.263157894736848,9.375253922368361e-05
18,0.001900014467537403,0.001900014467537403,0.001989482705922503,0.00200001522898674,8.770634453230737e-09,0.000300002284348011,0.0,9.36516655123161e-05
19,0.001900014467537403,0.001900014467537403,0.001985009294003248,0.00200001522898674,8.709250397573668e-09,0.000300002284348011,0.0,9.332336469273741e-05
20,0.001900014467537403,0.001900014467537403,0.0019809619213143983,0.00200001522898674,8.617793617026372e-09,0.000300002284348011,0.0,9.283207213579999e-05
21,0.001900014467537403,0.001900014467537403,0.0019772824915972624,0.00200001522898674,8.50526295935965e-09,0.000300002284348011,0.0,9.222398256071817e-05
22,0.00200001522898674,0.00200001522898674,0.0019782708714837613,0.00200001522898674,8.1411286779714e-09,0.000300002284348011,-5.263157894736836,9.022820334003886e-05
23,0.001900014467537403,0.001900014467537403,0.0019750101879859963,0.00200001522898674,8.042335926480177e-09,0.000300002284348011,0.0,8.967907184220953e-05
24,0.001800013706088066,0.001800013706088066,0.001968010328710079,0.00200001522898674,8.932189343276274e-09,0.000300002284348011,5.263157894736848,9.451026051850812e-05
25,0.001800013706088066,0.001800013706088066,0.001961548920147694,0.00200001522898674,9.66039658540688e-09,0.000300002284348011,5.263157894736848,9.828731650323393e-05
26,0.001900014467537403,0.001900014467537403,0.001959269866347313,0.00200001522898674,9.429083198659398e-09,0.000300002284348011,0.0,9.710346646057182e-05
27,0.003800028935074806,0.003800028935074806,0.0020250112616590093,0.00200001522898674,1.3009392750580922e-07,0.00200001522898674,-100.0,0.00036068535804189395
28,0.002100015990436077,0.002100015990436077,0.002027597631616839,0.00200001522898674,1.2564170578637736e-07,0.00200001522898674,-10.526315789473696,0.0003544597378918759
29,0.001900014467537403,0.001900014467537403,0.002023344859480858,0.00200001522898674,1.2185181529827134e-07,0.00200001522898674,0.0,0.00034907279369534276
30,0.001800013706088066,0.001800013706088066,0.0020161406287262516,0.00200001522898674,1.193990172853963e-07,0.00200001522898674,5.263157894736848,0.00034554162887472225
31,0.002100015990436077,0.002100015990436077,0.0020187617337796837,0.00200001522898674,1.1576728221707765e-07,0.00200001522898674,-10.526315789473696,0.0003402459143282659
32,0.001900014467537403,0.001900014467537403,0.0020151633317723417,0.00200001522898674,1.1257685504900655e-07,0.00200001522898674,0.0,0.0003355247458072304
33,0.00200001522898674,0.00200001522898674,0.0020147177993374713,0.00200001522898674,1.0917218417015439e-07,0.00200001522898674,-5.263157894736836,0.00033041214289150205
34,0.001900014467537403,0.001900014467537403,0.002011440561286041,0.00200001522898674,1.063371477005156e-07,0.00200001522898674,0.0,0.00032609377133044966
35,0.003300025127828121,0.003300025127828121,0.002047234577023321,0.00200001522898674,1.4942255973412424e-07,0.00200001522898674,-73.6842105263158,0.00038655214361599943
36,0.001900014467537403,0.001900014467537403,0.002043255655145323,0.00200001522898674,1.4585771038935774e-07,0.00200001522898674,0.0,0.0003819132236377234
37,0.001900014467537403,0.001900014467537403,0.0020394861502082725,0.00200001522898674,1.4245555847244133e-07,0.00200001522898674,0.0,0.00037743285293206967
38,0.002100015990436077,0.002100015990436077,0.002041038197393601,0.00200001522898674,1.3880067315447838e-07,0.00200001522898674,-10.526315789473696,0.0003725596236234925
39,0.001900014467537403,0.001900014467537403,0.002037512604147196,0.00200001522898674,1.3573887384469663e-07,0.00200001522898674,0.0,0.0003684275693331006
40,0.001999898813664913,0.001999898813664913,0.0020365951946232377,0.00200001522898674,1.3237990924819983e-07,0.00200001522898674,-5.257030819190001,0.00036384049973607916
41,0.001900014467537403,0.001900014467537403,0.0020333432725497653,0.0019999570213258266,1.2959528085507478e-07,0.00200001522898674,0.0,0.00035999344557238093
42,0.002700020559132099,0.002700020559132099,0.0020488473954935406,0.00200001522898674,1.3684592554494892e-07,0.00200001522898674,-42.10526315789473,0.0003699269191947903
43,0.001800013706088066,0.001800013706088066,0.002043192084370689,0.0019999570213258266,1.3507069409161768e-07,0.00200001522898674,5.263157894736848,0.00036751965129992395
44,0.001800013706088066,0.001800013706088066,0.002037788120408853,0.001999898813664913,1.333150327820725e-07,0.00200001522898674,5.263157894736848,0.00036512331174833593
45,0.001900014467537403,0.001900014467537403,0.002034793040998604,0.0019499566406011581,1.307651195290165e-07,0.00200001522898674,0.0,0.00036161460082388333
46,0.00200001522898674,0.00200001522898674,0.002034053087551543,0.001999898813664913,1.279481335011347e-07,0.00200001522898674,-5.263157894736836,0.00035769838341979504
47,0.0036999117583036423,0.0036999117583036423,0.002068758476525545,0.0019999570213258266,1.8304010593251018e-07,0.00200001522898674,-94.73071502971631,0.000427831866429454
48,0.00200001522898674,0.00200001522898674,0.0020673555531063857,0.00200001522898674,1.7932321190413082e-07,0.00200001522898674,-5.263157894736836,0.0004234657151460208
49,0.001800013706088066,0.001800013706088066,0.0020620087161660194,0.0019999570213258266,1.7709298778167556e-07,0.00200001522898674,5.263157894736848,0.00042082417680270646
50,0.001900014467537403,0.001900014467537403,0.002058832358349772,0.001999898813664913,1.740656797238607e-07,0.00200001522898674,0.0,0.0004172117924074782
